Team,#,POS.,FIFA POPULAR NAME,BIRTH DATE,SHIRT NAME,CLUB,HEIGHT,WEIGHT,ilk isim,soyisim
Argentina,8,DF,ACUNA Marcos,28.10.1991,ACUÑA,Sporting CP (POR),172,77,ACUNA,Marcos
Argentina,23,GK,CABALLERO Wilfredo,28.09.1981,CABALLERO,Chelsea FC (ENG),186,80,CABALLERO,Wilfredo
Argentina,2,DF,MERCADO Gabriel,18.03.1987,MERCADO,Sevilla FC (ESP),181,81,MERCADO,Gabriel
Argentina,17,DF,OTAMENDI Nicolas,12.02.1988,OTAMENDI,Manchester City FC (ENG),181,81,OTAMENDI,Nicolas
Argentina,16,DF,ROJO Marcos,20.03.1990,ROJO,Manchester United FC (ENG),189,82,ROJO,Marcos
Argentina,6,DF,FAZIO Federico,17.03.1987,FAZIO,AS Roma (ITA),199,85,FAZIO,Federico
Argentina,12,GK,ARMANI Franco,16.10.1986,ARMANI,CA River Plate (ARG),189,85,ARMANI,Franco
Argentina,1,GK,GUZMAN Nahuel,10.02.1986,GUZMÁN,Tigres UANL (MEX),192,90,GUZMAN,Nahuel
Australia,16,DF,BEHICH Aziz,16.12.1990,BEHICH,Bursaspor (TUR),170,63,BEHICH,Aziz
Australia,10,FW,KRUSE Robbie,05.10.1988,KRUSE,VfL Bochum (GER),180,66,KRUSE,Robbie
Australia,19,DF,RISDON Joshua,27.07.1992,RISDON,WS Wanderers FC (AUS),169,70,RISDON,Joshua
Australia,3,DF,MEREDITH James,05.04.1988,MEREDITH,Millwall FC (ENG),179,71,MEREDITH,James
Australia,13,MF,MOOY Aaron,15.09.1990,MOOY,Huddersfield Town FC (ENG),173,72,MOOY,Aaron
Australia,14,FW,MacLAREN Jamie,29.07.1993,MACLAREN,Hibernian FC (SCO),178,72,MacLAREN,Jamie
Australia,21,FW,PETRATOS Dimitrios,10.11.1992,PETRATOS,Newcastle United Jets FC (AUS),176,72,PETRATOS,Dimitrios
Australia,17,FW,ARZANI Daniel,04.01.1999,ARZANI,Melbourne City FC (AUS),171,73,ARZANI,Daniel
Australia,4,FW,CAHILL Tim,06.12.1979,CAHILL,Millwall FC (ENG),180,76,CAHILL,Tim
Australia,8,MF,LUONGO Massimo,25.09.1992,LUONGO,Queens Park Rangers FC (ENG),176,76,LUONGO,Massimo
Australia,20,DF,SAINSBURY Trent,05.01.1992,SAINSBURY,Grasshopper Club (SUI),183,76,SAINSBURY,Trent
Australia,22,MF,IRVINE Jackson,07.03.1993,IRVINE,Hull City FC (ENG),180,77,IRVINE,Jackson
Australia,5,DF,MILLIGAN Mark,04.08.1985,MILLIGAN,Al Ahli SC (KSA),178,78,MILLIGAN,Mark
Australia,15,MF,JEDINAK Mile,03.08.1984,JEDINAK,Aston Villa FC (ENG),188,78,JEDINAK,Mile
Australia,9,FW,JURIC Tomi,22.07.1991,JURIC,FC Luzern (SUI),190,80,JURIC,Tomi
Australia,1,GK,RYAN Mathew,08.04.1992,RYAN,Brighton & Hove Albion FC (ENG),184,82,RYAN,Mathew
Australia,6,DF,JURMAN Matthew,08.12.1989,JURMAN,Suwon Samsung Bluewings FC (KOR),190,83,JURMAN,Matthew
Australia,7,FW,LECKIE Mathew,04.02.1991,LECKIE,Hertha BSC (GER),181,84,LECKIE,Mathew
Australia,2,DF,DEGENEK Milos,28.04.1994,DEGENEK,Yokohama F-Marinos (JPN),187,85,DEGENEK,Milos
Australia,11,FW,NABBOUT Andrew,17.12.1992,NABBOUT,Urawa Reds (JPN),178,85,NABBOUT,Andrew
Australia,12,GK,JONES Brad,19.03.1982,JONES,Feyenoord Rotterdam (NED),193,87,JONES,Brad
Australia,23,MF,ROGIC Tom,16.12.1992,ROGIC,Celtic FC (SCO),189,88,ROGIC,Tom
Australia,18,GK,VUKOVIC Danny,27.03.1985,VUKOVIC,KRC Genk (BEL),187,94,VUKOVIC,Danny
Belgium,14,FW,MERTENS Dries,06.05.1987,MERTENS,SSC Napoli (ITA),169,61,MERTENS,Dries
Belgium,11,MF,CARRASCO Yannick,04.09.1993,CARRASCO,Dalian Yifang FC (CHN),180,67,CARRASCO,Yannick
Belgium,7,MF,DE BRUYNE Kevin,28.06.1991,DE BRUYNE,Manchester City FC (ENG),181,70,DE,BRUYNE Kevin
Belgium,16,MF,HAZARD Thorgan,29.03.1993,T. HAZARD,VfL Borussia Mönchengladbach (GER),174,70,HAZARD,Thorgan
Belgium,17,MF,TIELEMANS Youri,07.05.1997,TIELEMANS,AS Monaco (FRA),176,72,TIELEMANS,Youri
Belgium,6,MF,WITSEL Axel,12.01.1989,WITSEL,Tianjin Quanjian FC (CHN),186,73,WITSEL,Axel
Belgium,10,FW,HAZARD Eden,07.01.1991,E. HAZARD,Chelsea FC (ENG),173,74,HAZARD,Eden
Belgium,18,FW,JANUZAJ Adnan,05.02.1995,JANUZAJ,Real Sociedad (ESP),180,75,JANUZAJ,Adnan
Belgium,23,DF,DENDONCKER Leander,15.04.1995,DENDONCKER,RSC Anderlecht (BEL),188,76,DENDONCKER,Leander
Belgium,21,FW,BATSHUAYI Michy,02.10.1993,BATSHUAYI,Borussia Dortmund (GER),185,78,BATSHUAYI,Michy
Belgium,3,DF,VERMAELEN Thomas,14.11.1985,VERMAELEN,FC Barcelona (ESP),183,80,VERMAELEN,Thomas
Belgium,2,DF,ALDERWEIRELD Toby,02.03.1989,ALDERWEIRELD,Tottenham Hotspur FC (ENG),186,81,ALDERWEIRELD,Toby
Belgium,19,MF,DEMBELE Moussa,16.07.1987,DEMBELE,Tottenham Hotspur FC (ENG),185,82,DEMBELE,Moussa
Belgium,20,DF,BOYATA Dedryck,28.11.1990,BOYATA,Celtic FC (SCO),188,84,BOYATA,Dedryck
Belgium,4,DF,KOMPANY Vincent,10.04.1986,KOMPANY,Manchester City FC (ENG),190,85,KOMPANY,Vincent
Belgium,8,MF,FELLAINI Marouane,22.11.1987,FELLAINI,Manchester United FC (ENG),194,85,FELLAINI,Marouane
Belgium,22,MF,CHADLI Nacer,02.08.1989,CHADLI,West Bromwich Albion FC (ENG),187,85,CHADLI,Nacer
Belgium,5,DF,VERTONGHEN Jan,24.04.1987,VERTONGHEN,Tottenham Hotspur FC (ENG),189,86,VERTONGHEN,Jan
Belgium,13,GK,CASTEELS Koen,25.06.1992,CASTEELS,VfL Wolfsburg (GER),197,86,CASTEELS,Koen
Belgium,12,GK,MIGNOLET Simon,06.03.1988,MIGNOLET,Liverpool FC (ENG),193,87,MIGNOLET,Simon
Belgium,15,DF,MEUNIER Thomas,12.09.1991,MEUNIER,Paris Saint-Germain FC (FRA),190,88,MEUNIER,Thomas
Belgium,1,GK,COURTOIS Thibaut,11.05.1992,COURTOIS,Chelsea FC (ENG),199,91,COURTOIS,Thibaut
Belgium,9,FW,LUKAKU Romelu,13.05.1993,R. LUKAKU,Manchester United FC (ENG),190,94,LUKAKU,Romelu
Brazil,18,MF,FRED,05.03.1993,FRED,FC Shakhtar Donetsk (UKR),169,64,FRED,
Brazil,21,FW,TAISON,13.01.1988,TAISON,FC Shakhtar Donetsk (UKR),172,64,TAISON,
Brazil,17,MF,FERNANDINHO,04.05.1985,FERNANDINHO,Manchester City FC (ENG),179,67,FERNANDINHO,
Brazil,22,DF,FAGNER,11.06.1989,FAGNER,SC Corinthians (BRA),168,67,FAGNER,
Brazil,10,FW,NEYMAR,05.02.1992,NEYMAR JR,Paris Saint-Germain FC (FRA),175,68,NEYMAR,
Brazil,11,MF,PHILIPPE COUTINHO,12.06.1992,P. COUTINHO,FC Barcelona (ESP),172,68,PHILIPPE,COUTINHO
Brazil,7,FW,DOUGLAS COSTA,14.09.1990,D. COSTA,Juventus FC (ITA),182,70,DOUGLAS,COSTA
Brazil,6,DF,FILIPE LUIS,09.08.1985,FILIPE LUIS,Atletico Madrid (ESP),182,73,FILIPE,LUIS
Brazil,9,FW,GABRIEL JESUS,03.04.1997,G. JESUS,Manchester City FC (ENG),175,73,GABRIEL,JESUS
Brazil,13,DF,MARQUINHOS,14.05.1994,MARQUINHOS,Paris Saint-Germain FC (FRA),183,75,MARQUINHOS,
Brazil,20,FW,ROBERTO FIRMINO,02.10.1991,FIRMINO,Liverpool FC (ENG),181,76,ROBERTO,FIRMINO
Brazil,19,MF,WILLIAN,09.08.1988,WILLIAN,Chelsea FC (ENG),175,77,WILLIAN,
Brazil,3,DF,MIRANDA,07.09.1984,MIRANDA,FC Internazionale (ITA),186,78,MIRANDA,
Brazil,14,DF,DANILO,15.07.1991,DANILO,Manchester City FC (ENG),184,78,DANILO,
Brazil,2,DF,THIAGO SILVA,22.09.1984,T. SILVA,Paris Saint-Germain FC (FRA),183,79,THIAGO,SILVA
Brazil,12,DF,MARCELO,12.05.1988,MARCELO,Real Madrid CF (ESP),174,80,MARCELO,
Brazil,15,MF,PAULINHO,25.07.1988,PAULINHO,FC Barcelona (ESP),181,81,PAULINHO,
Brazil,4,DF,PEDRO GEROMEL,21.09.1985,GEROMEL,Grêmio FBPA (BRA),190,84,PEDRO,GEROMEL
Brazil,5,MF,CASEMIRO,23.02.1992,CASEMIRO,Real Madrid CF (ESP),185,84,CASEMIRO,
Brazil,8,MF,RENATO AUGUSTO,08.02.1988,R. AUGUSTO,Beijing Guoan (CHN),186,86,RENATO,AUGUSTO
Brazil,23,GK,EDERSON,17.08.1993,EDERSON,Manchester City FC (ENG),188,86,EDERSON,
Brazil,1,GK,ALISSON,02.10.1992,A. BECKER,AS Roma (ITA),193,91,ALISSON,
Brazil,16,GK,CASSIO,06.06.1987,CASSIO,SC Corinthians (BRA),195,92,CASSIO,
Colombia,20,MF,QUINTERO Juan,18.01.1993,J. QUINTERO,CA River Plate (ARG),169,64,QUINTERO,Juan
Colombia,17,DF,MOJICA Johan,21.08.1992,J. MOJICA,Girona FC (ESP),185,66,MOJICA,Johan
Colombia,16,MF,LERMA Jefferson,25.10.1994,J. LERMA,Levante UD (ESP),179,70,LERMA,Jefferson
Colombia,4,DF,ARIAS Santiago,13.01.1992,ARIAS,PSV Eindhoven (NED),177,71,ARIAS,Santiago
Colombia,15,MF,URIBE Mateus,21.03.1991,M. URIBE,Club América (MEX),182,71,URIBE,Mateus
Colombia,9,FW,FALCAO Radamel,10.02.1986,FALCAO,AS Monaco (FRA),177,72,FALCAO,Radamel
Colombia,11,MF,CUADRADO Juan,26.05.1988,CUADRADO,Juventus FC (ITA),179,72,CUADRADO,Juan
Colombia,18,DF,FABRA Frank,22.02.1991,FABRA,CA Boca Juniors (ARG),172,72,FABRA,Frank
Colombia,21,FW,IZQUIERDO Jose,07.07.1992,IZQUIERDO,Brighton & Hove Albion FC (ENG),171,73,IZQUIERDO,Jose
Colombia,5,MF,BARRIOS  Wilmar,16.10.1993,BARRIOS,CA Boca Juniors (ARG),178,74,BARRIOS, Wilmar
Colombia,19,FW,BORJA Miguel,26.01.1993,M. BORJA,SE Palmeiras (BRA),183,74,BORJA,Miguel
Colombia,10,MF,RODRIGUEZ James,12.07.1991,JAMES,FC Bayern München (GER),180,75,RODRIGUEZ,James
Colombia,7,FW,BACCA Carlos,08.09.1986,BACCA,Villarreal CF (ESP),181,77,BACCA,Carlos
Colombia,14,FW,MURIEL Luis,16.04.1991,L. MURIEL,Sevilla FC (ESP),178,79,MURIEL,Luis
Colombia,1,GK,OSPINA David,31.08.1988,OSPINA,Arsenal FC (ENG),183,80,OSPINA,David
Colombia,3,DF,MURILLO Oscar,18.04.1988,O. MURILLO,CF Pachuca (MEX),184,80,MURILLO,Oscar
Colombia,12,GK,VARGAS Camilo,09.03.1989,C. VARGAS,AC Deportivo Cali (COL),185,80,VARGAS,Camilo
Colombia,22,GK,CUADRADO Jose,01.06.1985,J.F. CUADRADO,CD Once Caldas (COL),180,80,CUADRADO,Jose
Colombia,23,DF,SANCHEZ Davinson,12.06.1996,D. SANCHEZ,Tottenham Hotspur FC (ENG),187,81,SANCHEZ,Davinson
Colombia,2,DF,ZAPATA Cristian,30.09.1986,C. ZAPATA,AC Milan (ITA),187,82,ZAPATA,Cristian
Colombia,6,MF,SANCHEZ Carlos,06.02.1986,C. SANCHEZ,RCD Espanyol (ESP),182,82,SANCHEZ,Carlos
Colombia,8,MF,AGUILAR Abel,06.01.1985,AGUILAR T.,AC Deportivo Cali (COL),185,82,AGUILAR,Abel
Colombia,13,DF,MINA Yerry,23.09.1994,Y. MINA,FC Barcelona (ESP),194,95,MINA,Yerry
Costa Rica,7,MF,BOLANOS Christian,17.05.1984,C. BOLAÑOS,Deportivo Saprissa (CRC),178,67,BOLANOS,Christian
Costa Rica,16,DF,GAMBOA Cristian,24.10.1989,C. GAMBOA,Celtic FC (SCO),175,67,GAMBOA,Cristian
Costa Rica,17,MF,TEJEDA Yeltsin,17.03.1992,Y. TEJEDA,FC Lausanne-Sport (SUI),179,67,TEJEDA,Yeltsin
Costa Rica,4,DF,SMITH Ian,06.03.1998,I. SMITH,IFK Norrkoping FK (SWE),177,68,SMITH,Ian
Costa Rica,8,DF,OVIEDO Bryan,18.02.1990,B. OVIEDO,Sunderland AFC (ENG),172,70,OVIEDO,Bryan
Costa Rica,13,MF,WALLACE Rodney,17.06.1988,R. WALLACE,New York City FC (USA),180,70,WALLACE,Rodney
Costa Rica,21,FW,URENA Marcos,05.03.1990,M. UREÑA,Los Angeles FC (USA),181,70,URENA,Marcos
Costa Rica,22,DF,MATARRITA Ronald,09.07.1994,R. MATARRITA,New York City FC (USA),175,70,MATARRITA,Ronald
Costa Rica,23,GK,MOREIRA Leonel,02.04.1990,L. MOREIRA,CS Herediano (CRC),179,70,MOREIRA,Leonel
Costa Rica,12,FW,CAMPBELL Joel,26.06.1992,J. CAMPBELL,Real Betis (ESP),178,71,CAMPBELL,Joel
Costa Rica,18,GK,PEMBERTON Patrick,24.04.1982,P. PEMBERTON,LD Alajuelense (CRC),178,72,PEMBERTON,Patrick
Costa Rica,10,MF,RUIZ Bryan,18.08.1985,BRYAN,Sporting CP (POR),187,73,RUIZ,Bryan
Costa Rica,2,DF,ACOSTA Johnny,21.07.1983,J. ACOSTA,Rionegro Águilas (COL),176,75,ACOSTA,Johnny
Costa Rica,9,MF,COLINDRES Daniel,10.01.1985,D. COLINDRES,Deportivo Saprissa (CRC),180,75,COLINDRES,Daniel
Costa Rica,11,FW,VENEGAS Johan,27.11.1988,J. VENEGAS,Deportivo Saprissa (CRC),183,76,VENEGAS,Johan
Costa Rica,3,DF,GONZALEZ Giancarlo,08.02.1988,G. GONZALEZ,Bologna FC (ITA),186,78,GONZALEZ,Giancarlo
Costa Rica,15,DF,CALVO Francisco,08.07.1992,F. CALVO,Minnesota United FC (USA),180,78,CALVO,Francisco
Costa Rica,20,MF,GUZMAN David,18.02.1990,D. GUZMAN,Portland Timbers (USA),176,78,GUZMAN,David
Costa Rica,5,MF,BORGES Celso,27.05.1988,C. BORGES,Deportivo La Coruña (ESP),187,79,BORGES,Celso
Costa Rica,1,GK,NAVAS Keylor,15.12.1986,K. NAVAS,Real Madrid CF (ESP),185,80,NAVAS,Keylor
Costa Rica,6,DF,DUARTE Oscar,03.06.1989,O. DUARTE,RCD Espanyol (ESP),186,81,DUARTE,Oscar
Costa Rica,14,MF,AZOFEIFA Randall,30.12.1984,R. AZOFEIFA,CS Herediano (CRC),182,83,AZOFEIFA,Randall
Costa Rica,19,DF,WASTON Kendall,01.01.1988,K. WASTON,Vancouver Whitecaps FC (CAN),196,87,WASTON,Kendall
Croatia,10,MF,MODRIC Luka,09.09.1985,MODRIĆ,Real Madrid CF (ESP),172,66,MODRIC,Luka
Croatia,11,MF,BROZOVIC Marcelo,16.11.1992,BROZOVIĆ,FC Internazionale (ITA),181,68,BROZOVIC,Marcelo
Croatia,22,DF,PIVARIC Josip,30.01.1989,PIVARIĆ,FC Dynamo Kyiv (UKR),176,69,PIVARIC,Josip
Croatia,9,FW,KRAMARIC Andrej,19.06.1991,KRAMARIĆ,TSG 1899 Hoffenheim (GER),177,73,KRAMARIC,Andrej
Croatia,2,DF,VRSALJKO Sime,10.01.1992,VRSALJKO,Atletico Madrid (ESP),181,76,VRSALJKO,Sime
Croatia,19,MF,BADELJ Milan,25.02.1989,BADELJ,ACF Fiorentina (ITA),186,76,BADELJ,Milan
Croatia,21,DF,VIDA Domagoj,29.04.1989,VIDA,Besiktas JK (TUR),184,76,VIDA,Domagoj
Croatia,3,DF,STRINIC Ivan,17.07.1987,STRINIĆ,UC Sampdoria (ITA),186,78,STRINIC,Ivan
Croatia,7,MF,RAKITIC Ivan,10.03.1988,RAKITIĆ,FC Barcelona (ESP),184,78,RAKITIC,Ivan
Croatia,8,MF,KOVACIC Mateo,06.05.1994,KOVAČIĆ,Real Madrid CF (ESP),178,78,KOVACIC,Mateo
Croatia,14,MF,BRADARIC Filip,11.01.1992,BRADARIĆ,HNK Rijeka (CRO),186,78,BRADARIC,Filip
Croatia,18,FW,REBIC Ante,21.09.1993,REBIĆ,Eintracht Frankfurt (GER),185,78,REBIC,Ante
Croatia,4,FW,PERISIC Ivan,02.02.1989,PERIŠIĆ,FC Internazionale (ITA),186,81,PERISIC,Ivan
Croatia,13,DF,JEDVAJ Tin,28.11.1995,JEDVAJ,Bayer 04 Leverkusen (GER),184,81,JEDVAJ,Tin
Croatia,16,FW,KALINIC Nikola,05.01.1988,N. KALINIĆ,AC Milan (ITA),187,81,KALINIC,Nikola
Croatia,1,GK,LIVAKOVIC Dominik,09.01.1995,LIVAKOVIĆ,GNK Dinamo Zagreb (CRO),188,82,LIVAKOVIC,Dominik
Croatia,20,FW,PJACA Marko,06.05.1995,PJACA,FC Schalke 04 (GER),186,83,PJACA,Marko
Croatia,5,DF,CORLUKA Vedran,05.02.1986,ĆORLUKA,FC Lokomotiv Moscow (RUS),192,84,CORLUKA,Vedran
Croatia,6,DF,LOVREN Dejan,05.07.1989,LOVREN,Liverpool FC (ENG),188,84,LOVREN,Dejan
Croatia,23,GK,SUBASIC Danijel,27.10.1984,SUBAŠIĆ,AS Monaco (FRA),191,84,SUBASIC,Danijel
Croatia,17,FW,MANDZUKIC Mario,21.05.1986,MANDŽUKIĆ,Juventus FC (ITA),190,85,MANDZUKIC,Mario
Croatia,15,DF,CALETA-CAR Duje,17.09.1996,ĆALETA-CAR,FC Red Bull Salzburg (AUT),192,89,CALETA-CAR,Duje
Croatia,12,GK,KALINIC Lovre,03.04.1990,L. KALINIĆ,KAA Gent (BEL),201,96,KALINIC,Lovre
Denmark,2,MF,KROHN-DEHLI Michael,06.06.1983,KROHN-DEHLI,Deportivo La Coruña (ESP),171,69,KROHN-DEHLI,Michael
Denmark,23,FW,SISTO Pione,04.02.1995,SISTO,Celta Vigo (ESP),173,69,SISTO,Pione
Denmark,11,FW,BRAITHWAITE Martin,05.06.1991,BRAITHWAITE,FC Girondins Bordeaux (FRA),180,73,BRAITHWAITE,Martin
Denmark,10,MF,ERIKSEN Christian,14.02.1992,ERIKSEN,Tottenham Hotspur FC (ENG),181,76,ERIKSEN,Christian
Denmark,8,MF,DELANEY Thomas,03.09.1991,DELANEY,SV Werder Bremen (GER),180,78,DELANEY,Thomas
Denmark,7,MF,KVIST William,24.02.1985,KVIST,FC Kobenhavn (DEN),185,80,KVIST,William
Denmark,15,FW,FISCHER Viktor,09.06.1994,FISCHER,FC Kobenhavn (DEN),181,80,FISCHER,Viktor
Denmark,19,MF,SCHONE Lasse,27.05.1986,SCHÖNE,AFC Ajax (NED),178,80,SCHONE,Lasse
Denmark,14,DF,DALSGAARD Henrik,27.07.1989,DALSGAARD,Brentford FC (ENG),190,81,DALSGAARD,Henrik
Denmark,5,DF,KNUDSEN Jonas,16.09.1992,KNUDSEN,Ipswich Town FC (ENG),187,82,KNUDSEN,Jonas
Denmark,17,DF,STRYGER LARSEN Jens,21.02.1991,STRYGER,Udinese Calcio (ITA),182,82,STRYGER,LARSEN Jens
Denmark,4,DF,KJAER Simon,26.03.1989,KJÆR,Sevilla FC (ESP),191,84,KJAER,Simon
Denmark,20,FW,POULSEN Yussuf Yurary,15.06.1994,YURARY,RB Leipzig (GER),193,84,POULSEN,Yussuf Yurary
Denmark,6,DF,CHRISTENSEN Andreas,10.04.1996,CHRISTENSEN,Chelsea FC (ENG),192,85,CHRISTENSEN,Andreas
Denmark,12,FW,DOLBERG Kasper,06.10.1997,DOLBERG,AFC Ajax (NED),187,85,DOLBERG,Kasper
Denmark,13,DF,JORGENSEN Mathias,23.04.1990,M. JØRGENSEN,Huddersfield Town FC (ENG),191,85,JORGENSEN,Mathias
Denmark,18,MF,LERAGER Lukas,12.07.1993,LERAGER,FC Girondins Bordeaux (FRA),186,85,LERAGER,Lukas
Denmark,22,GK,RONNOW Frederik,04.08.1992,RØNNOW,Brondby IF (DEN),190,85,RONNOW,Frederik
Denmark,9,FW,JORGENSEN Nicolai,15.01.1991,N. JØRGENSEN,Feyenoord Rotterdam (NED),194,86,JORGENSEN,Nicolai
Denmark,16,GK,LOSSL Jonas,01.02.1989,LÖSSL,Huddersfield Town FC (ENG),195,90,LOSSL,Jonas
Denmark,21,FW,CORNELIUS Andreas,16.03.1993,CORNELIUS,Atalanta Bergamo (ITA),195,91,CORNELIUS,Andreas
Denmark,1,GK,SCHMEICHEL Kasper,05.11.1986,SCHMEICHEL,Leicester City FC (ENG),190,92,SCHMEICHEL,Kasper
Denmark,3,DF,VESTERGAARD Jannik,03.08.1992,VESTERGAARD,VfL Borussia Mönchengladbach (GER),200,98,VESTERGAARD,Jannik
Egypt,8,MF,TAREK HAMED,24.10.1988,TAREK HAMED,Zamalek (EGY),169,67,TAREK,HAMED
Egypt,4,MF,OMAR GABER,30.01.1992,O. GABER,Los Angeles FC (USA),175,71,OMAR,GABER
Egypt,10,FW,MOHAMED SALAH,15.06.1992,M SALAH,Liverpool FC (ENG),175,71,MOHAMED,SALAH
Egypt,13,DF,MOHAMED ABDELSHAFY,01.07.1985,ABDELSHAFY,Al Fateh FC (KSA),171,72,MOHAMED,ABDELSHAFY
Egypt,15,DF,MAHMOUD HAMDY,01.06.1995,M. HAMDY,Zamalek (EGY),173,72,MAHMOUD,HAMDY
Egypt,12,DF,AYMAN ASHRAF,09.04.1991,A. ASHRAF,Al Ahly SC (EGY),176,73,AYMAN,ASHRAF
Egypt,17,MF,MOHAMED ELNENY,11.07.1992,M. ELNENY,Arsenal FC (ENG),181,74,MOHAMED,ELNENY
Egypt,5,MF,SAM MORSY,10.09.1991,MORSY,Wigan Athletic FC (ENG),173,75,SAM,MORSY
Egypt,19,MF,ABDALLA SAID,13.07.1985,ABDALLA,Kuopion PS (FIN),176,75,ABDALLA,SAID
Egypt,3,DF,AHMED ELMOHAMADY,09.09.1987,ELMOHAMADY,Aston Villa FC (ENG),183,76,AHMED,ELMOHAMADY
Egypt,7,DF,AHMED FATHI,10.11.1984,A. FATHI,Al Ahly SC (EGY),176,76,AHMED,FATHI
Egypt,11,FW,KAHRABA,13.04.1994,M. KAHRABA,Al-Ittihad FC (KSA),182,76,KAHRABA,
Egypt,14,FW,RAMADAN SOBHY,23.01.1997,RAMADAN,Stoke City FC (ENG),183,77,RAMADAN,SOBHY
Egypt,21,MF,TREZEGUET,01.10.1994,M. TREZEGUET,Kasimpasa SK (TUR),181,77,TREZEGUET,
Egypt,22,FW,AMR WARDA,17.09.1993,WARDA,Atromitos FC (GRE),179,77,AMR,WARDA
Egypt,18,FW,SHIKABALA,05.03.1986,SHIKABALA,Al Raed SC (KSA),183,80,SHIKABALA,
Egypt,9,FW,MARWAN MOHSEN,26.02.1989,MARWAN,Al Ahly SC (EGY),185,81,MARWAN,MOHSEN
Egypt,20,DF,SAMIR SAAD,01.04.1989,S. SAMIR,Al Ahly SC (EGY),183,82,SAMIR,SAAD
Egypt,23,GK,MOHAMED ELSHENAWY,18.12.1988,M. ELSHENAWY,Al Ahly SC (EGY),191,86,MOHAMED,ELSHENAWY
Egypt,2,DF,ALI GABR,01.01.1989,ALI GABR,West Bromwich Albion FC (ENG),191,88,ALI,GABR
Egypt,1,GK,ESSAM EL HADARY,15.01.1973,ELHADARY,Al Taawoun FC (KSA),190,90,ESSAM,EL HADARY
Egypt,16,GK,SHERIF EKRAMY,10.07.1983,EKRAMY,Al Ahly SC (EGY),193,93,SHERIF,EKRAMY
Egypt,6,DF,AHMED HEGAZY,25.01.1991,A. HEGAZY,West Bromwich Albion FC (ENG),194,95,AHMED,HEGAZY
England,7,MF,LINGARD Jesse,15.12.1992,LINGARD,Manchester United FC (ENG),175,60,LINGARD,Jesse
England,10,FW,STERLING Raheem,08.12.1994,STERLING,Manchester City FC (ENG),170,70,STERLING,Raheem
England,22,DF,ALEXANDER-ARNOLD Trent,07.10.1998,ALEXANDER-ARNOLD,Liverpool FC (ENG),175,70,ALEXANDER-ARNOLD,Trent
England,1,GK,PICKFORD Jordan,07.03.1994,PICKFORD,Everton FC (ENG),185,72,PICKFORD,Jordan
England,5,DF,STONES John,28.05.1994,STONES,Manchester City FC (ENG),188,72,STONES,John
England,12,DF,TRIPPIER Kieran,19.09.1990,TRIPPIER,Tottenham Hotspur FC (ENG),178,72,TRIPPIER,Kieran
England,16,DF,JONES Phil,21.02.1992,JONES,Manchester United FC (ENG),182,72,JONES,Phil
England,21,MF,LOFTUS-CHEEK Ruben,23.01.1996,LOFTUS-CHEEK,Chelsea FC (ENG),190,73,LOFTUS-CHEEK,Ruben
England,3,DF,ROSE Danny,02.07.1990,ROSE,Tottenham Hotspur FC (ENG),173,76,ROSE,Danny
England,20,MF,ALLI Dele,11.04.1996,DELE,Tottenham Hotspur FC (ENG),188,76,ALLI,Dele
England,23,GK,POPE Nick,19.04.1992,POPE,Burnley FC (ENG),191,76,POPE,Nick
England,14,FW,WELBECK Danny,26.11.1990,WELBECK,Arsenal FC (ENG),184,78,WELBECK,Danny
